layer,neuron,label,flips,precision,recall,F1
18,25,business,1,1.0,0.00303951367781155,0.00606060606060606
18,885,business,1,1.0,0.00303951367781155,0.00606060606060606
18,45,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,105,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,105,sports,1,0.5,0.000970873786407767,0.0019379844961240308
18,121,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,168,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,188,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,383,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,438,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,542,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,559,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,565,entertainment,2,0.5,0.0005589714924538849,0.0011166945840312675
18,565,society,1,0.25,0.001841620626151013,0.003656307129798903
18,565,sports,1,0.25,0.000970873786407767,0.0019342359767891683
18,595,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,686,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,727,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,764,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,771,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,771,sports,1,0.5,0.000970873786407767,0.0019379844961240308
18,801,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,801,sports,1,0.5,0.000970873786407767,0.0019379844961240308
18,812,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,823,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,823,science,1,0.5,0.0010940919037199124,0.002183406113537118
18,829,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,971,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,984,entertainment,2,1.0,0.0005589714924538849,0.00111731843575419
18,1007,entertainment,2,0.6666666666666666,0.0005589714924538849,0.0011170064227869311
18,1007,society,1,0.3333333333333333,0.001841620626151013,0.003663003663003663
18,1010,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
18,339,entertainment,2,0.6666666666666666,0.0005589714924538849,0.0011170064227869311
18,339,society,1,0.3333333333333333,0.001841620626151013,0.003663003663003663
18,455,entertainment,1,0.5,0.00027948574622694243,0.000558659217877095
18,455,society,1,0.5,0.001841620626151013,0.003669724770642202
18,797,entertainment,2,0.6666666666666666,0.0005589714924538849,0.0011170064227869311
18,797,society,1,0.3333333333333333,0.001841620626151013,0.003663003663003663
18,460,environment,1,1.0,0.012345679012345678,0.024390243902439022
18,905,science,1,1.0,0.0010940919037199124,0.002185792349726776
18,19,entertainment,1,1.0,0.00027948574622694243,0.0005588153115395362
