layer,neuron,drop_frac
23,1023,0.012
23,33,0.011
23,927,0.011
23,529,0.01
23,604,0.009
22,575,0.009
23,581,0.008
22,492,0.008
22,499,0.008
22,717,0.008
22,581,0.008
23,241,0.008
23,339,0.008
22,238,0.008
22,975,0.008
22,565,0.007
22,771,0.007
22,270,0.007
23,238,0.007
23,492,0.007
23,568,0.007
22,261,0.007
23,22,0.007
22,227,0.007
21,1008,0.007
22,664,0.007
23,396,0.007
23,399,0.007
23,230,0.007
23,497,0.007
22,217,0.007
23,188,0.007
23,777,0.007
22,1023,0.007
21,238,0.007
22,807,0.007
21,446,0.007
23,757,0.007
23,873,0.007
23,128,0.007
22,155,0.007
22,775,0.006
23,730,0.006
22,857,0.006
20,238,0.006
23,807,0.006
22,341,0.006
23,674,0.006
20,446,0.006
22,197,0.006
23,538,0.006
22,168,0.006
23,350,0.006
23,446,0.006
22,243,0.006
23,165,0.006
23,13,0.006
22,257,0.006
23,30,0.006
22,309,0.006
22,193,0.006
23,631,0.006
21,592,0.006
23,565,0.006
22,0,0.006
22,78,0.006
23,407,0.006
23,771,0.006
23,975,0.006
23,257,0.006
22,658,0.006
22,670,0.006
22,659,0.006
22,75,0.006
23,154,0.006
23,553,0.006
20,99,0.006
22,5,0.006
23,333,0.006
23,234,0.006
22,45,0.006
22,1011,0.006
22,412,0.006
22,809,0.006
22,794,0.006
22,859,0.006
23,749,0.006
22,450,0.006
22,358,0.006
22,439,0.006
21,713,0.006
21,730,0.006
23,676,0.006
22,273,0.006
22,286,0.006
22,234,0.006
23,627,0.006
20,771,0.006
22,446,0.006
22,745,0.006
22,590,0.006
22,604,0.006
22,447,0.006
21,344,0.005
19,339,0.005
23,656,0.005
23,740,0.005
21,383,0.005
23,645,0.005
23,912,0.005
23,708,0.005
20,1007,0.005
20,975,0.005
23,527,0.005
21,529,0.005
23,668,0.005
21,553,0.005
23,694,0.005
23,680,0.005
23,56,0.005
23,57,0.005
22,344,0.005
22,965,0.005
22,988,0.005
23,596,0.005
23,80,0.005
23,534,0.005
22,274,0.005
22,315,0.005
21,470,0.005
21,565,0.005
23,573,0.005
23,590,0.005
21,363,0.005
22,355,0.005
22,339,0.005
23,28,0.005
22,465,0.005
22,461,0.005
22,350,0.005
22,473,0.005
22,916,0.005
22,927,0.005
22,894,0.005
21,505,0.005
22,998,0.005
22,1008,0.005
22,527,0.005
22,420,0.005
22,823,0.005
22,810,0.005
23,62,0.005
23,7,0.005
22,478,0.005
22,757,0.005
23,924,0.005
20,867,0.005
23,781,0.005
23,928,0.005
20,581,0.005
23,976,0.005
22,554,0.005
22,483,0.005
23,808,0.005
23,824,0.005
23,823,0.005
23,667,0.005
22,827,0.005
22,573,0.005
21,182,0.005
21,124,0.005
21,865,0.005
23,441,0.005
23,566,0.005
23,611,0.005
23,514,0.005
21,639,0.005
21,771,0.005
21,761,0.005
21,809,0.005
23,502,0.005
23,539,0.005
22,136,0.005
22,90,0.005
22,97,0.005
23,103,0.005
23,72,0.005
22,224,0.005
23,104,0.005
23,211,0.005
23,41,0.005
23,468,0.005
22,188,0.005
23,26,0.005
23,23,0.005
23,15,0.005
23,512,0.005
23,610,0.005
23,525,0.005
23,513,0.005
23,612,0.005
23,615,0.005
22,150,0.005
22,22,0.005
22,21,0.005
23,420,0.005
23,462,0.005
23,323,0.005
23,326,0.005
23,291,0.005
22,64,0.005
23,526,0.005
22,58,0.005
23,479,0.005
23,280,0.005
23,338,0.005
23,466,0.005
23,246,0.005
23,182,0.005
22,28,0.005
22,131,0.005
22,144,0.005
22,143,0.005
22,127,0.005
23,273,0.005
23,837,0.005
23,970,0.005
21,40,0.005
23,942,0.005
23,993,0.005
23,950,0.005
23,901,0.005
20,467,0.005
22,614,0.005
22,686,0.005
22,675,0.005
22,667,0.005
22,521,0.005
22,710,0.005
22,714,0.005
22,813,0.005
22,746,0.004
22,680,0.004
22,818,0.004
22,819,0.004
22,820,0.004
22,821,0.004
22,712,0.004
22,713,0.004
22,716,0.004
22,656,0.004
22,580,0.004
22,615,0.004
22,619,0.004
22,879,0.004
22,577,0.004
22,549,0.004
23,817,0.004
23,828,0.004
23,829,0.004
20,276,0.004
23,764,0.004
23,709,0.004
23,711,0.004
20,809,0.004
22,442,0.004
22,949,0.004
22,902,0.004
22,895,0.004
22,905,0.004
22,939,0.004
22,502,0.004
23,712,0.004
22,850,0.004
22,833,0.004
22,600,0.004
22,609,0.004
22,596,0.004
22,500,0.004
22,538,0.004
22,457,0.004
21,194,0.004
20,344,0.004
21,123,0.004
21,390,0.004
22,748,0.004
22,881,0.004
22,883,0.004
22,789,0.004
23,475,0.004
23,460,0.004
21,1009,0.004
20,25,0.004
21,1018,0.004
23,369,0.004
23,358,0.004
23,359,0.004
23,227,0.004
23,417,0.004
23,386,0.004
22,25,0.004
22,14,0.004
22,130,0.004
23,370,0.004
23,382,0.004
23,222,0.004
23,342,0.004
23,177,0.004
23,235,0.004
23,242,0.004
23,184,0.004
22,132,0.004
22,44,0.004
22,53,0.004
22,59,0.004
22,60,0.004
23,463,0.004
18,797,0.004
23,432,0.004
22,2,0.004
23,193,0.004
