neuron_id,layer,lens,n_queries,active_count,active_rate,a_j_mean_active,a_j_std_active,top1_mode_doc_token_id,top1_mode_frac,gt_n_with_label,hits@1,hits@5,hits@10,hits@20,top1_mode_doc_token_str
2260,19,simple,32,21,0.65625,28.75918987819127,19.977624097830976,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
1766,19,simple,32,19,0.59375,24.3089209606773,17.52044728992783,38895,1.0,0,0,0,0,0,@DOC_ID_-2142175725841020015@
1069,19,simple,32,14,0.4375,18.827228307724,17.045488233227083,32120,1.0,0,0,0,0,0,@DOC_ID_-1374932068194623395@
1458,19,simple,32,14,0.4375,25.395135198320663,22.124067546505916,41071,1.0,0,0,0,0,0,@DOC_ID_47340370008605574@
711,19,simple,32,13,0.40625,40.37666790301983,37.29228950757614,32110,1.0,0,0,0,0,0,@DOC_ID_-3471796156323863710@
2246,19,simple,32,13,0.40625,36.86841722635123,25.838160327204076,35639,1.0,0,0,0,0,0,@DOC_ID_4601451507237984720@
2301,19,simple,32,13,0.40625,15.48664036163917,10.594435216782962,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
8,19,simple,32,12,0.375,22.19563678900401,28.800874393690208,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
1396,19,simple,32,12,0.375,20.885781327883404,14.49141222051601,33359,1.0,0,0,0,0,0,@DOC_ID_-7959965023171014396@
1677,19,simple,32,12,0.375,29.60779603322347,29.876272891270816,32101,1.0,0,0,0,0,0,@DOC_ID_-3952149172515325408@
2724,19,simple,32,12,0.375,23.9560892979304,22.691853417643124,35207,1.0,0,0,0,0,0,@DOC_ID_-7223890153795235895@
3085,19,simple,32,12,0.375,28.613387664159138,16.364120841072513,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
3140,19,simple,32,12,0.375,18.05095601081848,12.116252287345528,41579,1.0,0,0,0,0,0,@DOC_ID_-6982991192528081677@
444,19,simple,32,11,0.34375,34.651924480091445,32.67484094790613,33553,1.0,0,0,0,0,0,@DOC_ID_-1301734827449700840@
1476,19,simple,32,11,0.34375,33.21794128417969,24.779648304987326,34252,1.0,0,0,0,0,0,@DOC_ID_-7076249053384511528@
2513,19,simple,32,11,0.34375,33.42485822330821,32.698611244725605,33886,1.0,0,0,0,0,0,@DOC_ID_1909396784769680020@
3149,19,simple,32,11,0.34375,19.222676450555976,14.208182162769573,32104,1.0,0,0,0,0,0,@DOC_ID_3369959950731134123@
3854,19,simple,32,11,0.34375,27.171273838390004,23.898274725474998,32105,1.0,0,0,0,0,0,@DOC_ID_6328671855929848793@
1,19,simple,32,10,0.3125,30.575522232055665,27.469517072945866,39583,1.0,0,0,0,0,0,@DOC_ID_-62427730610689591@
86,19,simple,32,10,0.3125,42.371702003479,25.797499933096564,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
492,19,simple,32,10,0.3125,24.671067190170287,16.678867249317378,37430,1.0,0,0,0,0,0,@DOC_ID_-3765443740472444718@
1474,19,simple,32,10,0.3125,25.20424642562866,18.856873115239484,32122,1.0,0,0,0,0,0,@DOC_ID_8148266614370990423@
1897,19,simple,32,10,0.3125,26.416734075546266,22.77335238451498,32102,1.0,0,0,0,0,0,@DOC_ID_3180949643664273199@
2168,19,simple,32,10,0.3125,29.63707661628723,21.361969426320357,32113,1.0,0,0,0,0,0,@DOC_ID_-6610224977170980268@
2255,19,simple,32,10,0.3125,42.83605818748474,27.507634920840047,32107,1.0,0,0,0,0,0,@DOC_ID_138352781929936545@
2323,19,simple,32,10,0.3125,34.97139892578125,36.53535690419282,35535,1.0,0,0,0,0,0,@DOC_ID_4256775588392751023@
2447,19,simple,32,10,0.3125,33.58537292480469,20.661369702984047,32111,1.0,0,0,0,0,0,@DOC_ID_6070333273965940514@
2726,19,simple,32,10,0.3125,30.675189685821532,21.38825460794476,32112,1.0,0,0,0,0,0,@DOC_ID_4914981770483543061@
3050,19,simple,32,10,0.3125,19.50880002975464,8.034543989881739,32117,1.0,0,0,0,0,0,@DOC_ID_-4636347768352449438@
