layer,neuron_id,n_queries,active_count,active_rate,unique_docs,top_doc_token_id,top_doc_freq,top_doc_frac,doc_entropy,layer_dir,file
18,15,1000,52,0.052,50,40945,52,0.02,3.912023005428145,L18,neuron_000015_exp3_summary.csv
18,33,1000,40,0.04,50,40767,40,0.02,3.912023005428145,L18,neuron_000033_exp3_summary.csv
18,46,1000,95,0.095,50,35024,95,0.02,3.912023005428145,L18,neuron_000046_exp3_summary.csv
18,71,1000,83,0.083,50,39361,83,0.02,3.912023005428145,L18,neuron_000071_exp3_summary.csv
18,83,1000,91,0.091,50,32121,91,0.02,3.912023005428145,L18,neuron_000083_exp3_summary.csv
18,106,1000,11,0.011,50,32124,11,0.02,3.912023005428145,L18,neuron_000106_exp3_summary.csv
18,155,1000,48,0.048,50,38736,48,0.02,3.912023005428145,L18,neuron_000155_exp3_summary.csv
18,184,1000,61,0.061,50,40226,61,0.02,3.912023005428145,L18,neuron_000184_exp3_summary.csv
18,186,1000,70,0.07,50,33551,70,0.02,3.912023005428145,L18,neuron_000186_exp3_summary.csv
18,197,1000,86,0.086,50,35162,86,0.02,3.912023005428145,L18,neuron_000197_exp3_summary.csv
18,201,1000,112,0.112,50,32122,112,0.02,3.912023005428145,L18,neuron_000201_exp3_summary.csv
18,242,1000,92,0.092,50,38129,92,0.02,3.912023005428145,L18,neuron_000242_exp3_summary.csv
18,272,1000,48,0.048,50,41694,48,0.02,3.912023005428145,L18,neuron_000272_exp3_summary.csv
18,302,1000,84,0.084,50,32125,84,0.02,3.912023005428145,L18,neuron_000302_exp3_summary.csv
18,315,1000,33,0.033,50,38357,33,0.02,3.912023005428145,L18,neuron_000315_exp3_summary.csv
18,318,1000,93,0.093,50,41759,93,0.02,3.912023005428145,L18,neuron_000318_exp3_summary.csv
18,320,1000,23,0.023,50,32515,23,0.02,3.912023005428145,L18,neuron_000320_exp3_summary.csv
18,357,1000,24,0.024,50,41600,24,0.02,3.912023005428145,L18,neuron_000357_exp3_summary.csv
18,358,1000,39,0.039,50,36260,39,0.02,3.912023005428145,L18,neuron_000358_exp3_summary.csv
18,386,1000,91,0.091,50,32616,91,0.02,3.912023005428145,L18,neuron_000386_exp3_summary.csv
18,406,1000,47,0.047,50,33584,47,0.02,3.912023005428145,L18,neuron_000406_exp3_summary.csv
18,465,1000,43,0.043,50,38096,43,0.02,3.912023005428145,L18,neuron_000465_exp3_summary.csv
18,565,1000,39,0.039,50,39710,39,0.02,3.912023005428145,L18,neuron_000565_exp3_summary.csv
18,573,1000,104,0.104,50,39657,104,0.02,3.912023005428145,L18,neuron_000573_exp3_summary.csv
18,587,1000,24,0.024,50,32115,24,0.02,3.912023005428145,L18,neuron_000587_exp3_summary.csv
18,604,1000,19,0.019,50,35418,19,0.02,3.912023005428145,L18,neuron_000604_exp3_summary.csv
18,610,1000,90,0.09,50,33863,90,0.02,3.912023005428145,L18,neuron_000610_exp3_summary.csv
18,629,1000,113,0.113,50,32905,113,0.02,3.912023005428145,L18,neuron_000629_exp3_summary.csv
18,655,1000,57,0.057,50,32102,57,0.02,3.912023005428145,L18,neuron_000655_exp3_summary.csv
18,684,1000,114,0.114,50,32101,114,0.02,3.912023005428145,L18,neuron_000684_exp3_summary.csv
18,695,1000,69,0.069,50,32234,69,0.02,3.912023005428145,L18,neuron_000695_exp3_summary.csv
18,704,1000,81,0.081,50,32930,81,0.02,3.912023005428145,L18,neuron_000704_exp3_summary.csv
18,749,1000,80,0.08,50,40349,80,0.02,3.912023005428145,L18,neuron_000749_exp3_summary.csv
18,760,1000,18,0.018,50,39924,18,0.02,3.912023005428145,L18,neuron_000760_exp3_summary.csv
18,763,1000,70,0.07,50,38710,70,0.02,3.912023005428145,L18,neuron_000763_exp3_summary.csv
18,790,1000,85,0.085,50,39479,85,0.02,3.912023005428145,L18,neuron_000790_exp3_summary.csv
18,845,1000,40,0.04,50,32107,40,0.02,3.912023005428145,L18,neuron_000845_exp3_summary.csv
18,866,1000,79,0.079,50,39307,79,0.02,3.912023005428145,L18,neuron_000866_exp3_summary.csv
18,895,1000,23,0.023,50,36130,23,0.02,3.912023005428145,L18,neuron_000895_exp3_summary.csv
18,906,1000,22,0.022,50,32103,22,0.02,3.912023005428145,L18,neuron_000906_exp3_summary.csv
18,928,1000,93,0.093,50,32119,93,0.02,3.912023005428145,L18,neuron_000928_exp3_summary.csv
18,945,1000,67,0.067,50,36610,67,0.02,3.912023005428145,L18,neuron_000945_exp3_summary.csv
18,951,1000,115,0.115,50,37404,115,0.02,3.912023005428145,L18,neuron_000951_exp3_summary.csv
18,956,1000,91,0.091,50,32123,91,0.02,3.912023005428145,L18,neuron_000956_exp3_summary.csv
18,969,1000,57,0.057,50,34405,57,0.02,3.912023005428145,L18,neuron_000969_exp3_summary.csv
18,977,1000,78,0.078,50,32107,78,0.02,3.912023005428145,L18,neuron_000977_exp3_summary.csv
18,987,1000,104,0.104,50,37778,104,0.02,3.912023005428145,L18,neuron_000987_exp3_summary.csv
18,990,1000,101,0.101,50,37234,101,0.02,3.912023005428145,L18,neuron_000990_exp3_summary.csv
18,992,1000,55,0.055,50,40896,55,0.02,3.912023005428145,L18,neuron_000992_exp3_summary.csv
18,1030,1000,88,0.088,50,40771,88,0.02,3.912023005428145,L18,neuron_001030_exp3_summary.csv
18,1040,1000,41,0.041,50,32127,41,0.02,3.912023005428145,L18,neuron_001040_exp3_summary.csv
18,1049,1000,75,0.075,50,38442,75,0.02,3.912023005428145,L18,neuron_001049_exp3_summary.csv
18,1053,1000,53,0.053,50,32123,53,0.02,3.912023005428145,L18,neuron_001053_exp3_summary.csv
18,1076,1000,86,0.086,50,38399,86,0.02,3.912023005428145,L18,neuron_001076_exp3_summary.csv
18,1080,1000,8,0.008,50,40589,8,0.02,3.912023005428145,L18,neuron_001080_exp3_summary.csv
18,1085,1000,45,0.045,50,38425,45,0.02,3.912023005428145,L18,neuron_001085_exp3_summary.csv
18,1106,1000,92,0.092,50,35145,92,0.02,3.912023005428145,L18,neuron_001106_exp3_summary.csv
18,1127,1000,40,0.04,50,32121,40,0.02,3.912023005428145,L18,neuron_001127_exp3_summary.csv
18,1132,1000,23,0.023,50,34722,23,0.02,3.912023005428145,L18,neuron_001132_exp3_summary.csv
18,1151,1000,41,0.041,50,35370,41,0.02,3.912023005428145,L18,neuron_001151_exp3_summary.csv
18,1195,1000,53,0.053,50,40969,53,0.02,3.912023005428145,L18,neuron_001195_exp3_summary.csv
18,1208,1000,25,0.025,50,40777,25,0.02,3.912023005428145,L18,neuron_001208_exp3_summary.csv
18,1211,1000,25,0.025,50,41445,25,0.02,3.912023005428145,L18,neuron_001211_exp3_summary.csv
18,1224,1000,15,0.015,50,40619,15,0.02,3.912023005428145,L18,neuron_001224_exp3_summary.csv
18,1239,1000,54,0.054,50,41379,54,0.02,3.912023005428145,L18,neuron_001239_exp3_summary.csv
18,1246,1000,147,0.147,50,40421,147,0.02,3.912023005428145,L18,neuron_001246_exp3_summary.csv
18,1292,1000,22,0.022,50,41025,22,0.02,3.912023005428145,L18,neuron_001292_exp3_summary.csv
18,1342,1000,60,0.06,50,32888,60,0.02,3.912023005428145,L18,neuron_001342_exp3_summary.csv
18,1352,1000,92,0.092,50,41228,92,0.02,3.912023005428145,L18,neuron_001352_exp3_summary.csv
18,1369,1000,158,0.158,50,32121,158,0.02,3.912023005428145,L18,neuron_001369_exp3_summary.csv
18,1404,1000,10,0.01,50,35267,10,0.02,3.912023005428145,L18,neuron_001404_exp3_summary.csv
18,1429,1000,60,0.06,50,34453,60,0.02,3.912023005428145,L18,neuron_001429_exp3_summary.csv
18,1446,1000,37,0.037,50,37521,37,0.02,3.912023005428145,L18,neuron_001446_exp3_summary.csv
18,1471,1000,68,0.068,50,37861,68,0.02,3.912023005428145,L18,neuron_001471_exp3_summary.csv
18,1474,1000,101,0.101,50,42013,101,0.02,3.912023005428145,L18,neuron_001474_exp3_summary.csv
18,1488,1000,48,0.048,50,39444,48,0.02,3.912023005428145,L18,neuron_001488_exp3_summary.csv
18,1516,1000,57,0.057,50,40791,57,0.02,3.912023005428145,L18,neuron_001516_exp3_summary.csv
18,1575,1000,131,0.131,50,35443,131,0.02,3.912023005428145,L18,neuron_001575_exp3_summary.csv
18,1582,1000,164,0.164,50,32127,164,0.02,3.912023005428145,L18,neuron_001582_exp3_summary.csv
18,1587,1000,56,0.056,50,32889,56,0.02,3.912023005428145,L18,neuron_001587_exp3_summary.csv
18,1589,1000,71,0.071,50,35541,71,0.02,3.912023005428145,L18,neuron_001589_exp3_summary.csv
18,1593,1000,54,0.054,50,32114,54,0.02,3.912023005428145,L18,neuron_001593_exp3_summary.csv
18,1633,1000,48,0.048,50,37182,48,0.02,3.912023005428145,L18,neuron_001633_exp3_summary.csv
18,1652,1000,45,0.045,50,34531,45,0.02,3.912023005428145,L18,neuron_001652_exp3_summary.csv
18,1678,1000,80,0.08,50,32239,80,0.02,3.912023005428145,L18,neuron_001678_exp3_summary.csv
18,1727,1000,72,0.072,50,33090,72,0.02,3.912023005428145,L18,neuron_001727_exp3_summary.csv
18,1732,1000,73,0.073,50,40382,73,0.02,3.912023005428145,L18,neuron_001732_exp3_summary.csv
18,1734,1000,31,0.031,50,32111,31,0.02,3.912023005428145,L18,neuron_001734_exp3_summary.csv
18,1736,1000,39,0.039,50,39932,39,0.02,3.912023005428145,L18,neuron_001736_exp3_summary.csv
18,1741,1000,128,0.128,50,32102,128,0.02,3.912023005428145,L18,neuron_001741_exp3_summary.csv
18,1779,1000,15,0.015,50,33115,15,0.02,3.912023005428145,L18,neuron_001779_exp3_summary.csv
18,1809,1000,8,0.008,50,33209,8,0.02,3.912023005428145,L18,neuron_001809_exp3_summary.csv
18,1918,1000,59,0.059,50,38312,59,0.02,3.912023005428145,L18,neuron_001918_exp3_summary.csv
18,1928,1000,27,0.027,50,32124,27,0.02,3.912023005428145,L18,neuron_001928_exp3_summary.csv
18,1932,1000,29,0.029,50,32107,29,0.02,3.912023005428145,L18,neuron_001932_exp3_summary.csv
18,1950,1000,70,0.07,50,41372,70,0.02,3.912023005428145,L18,neuron_001950_exp3_summary.csv
18,1978,1000,25,0.025,50,32117,25,0.02,3.912023005428145,L18,neuron_001978_exp3_summary.csv
18,1983,1000,23,0.023,50,39530,23,0.02,3.912023005428145,L18,neuron_001983_exp3_summary.csv
18,1993,1000,176,0.176,50,32112,176,0.02,3.912023005428145,L18,neuron_001993_exp3_summary.csv
18,1997,1000,137,0.137,50,32126,137,0.02,3.912023005428145,L18,neuron_001997_exp3_summary.csv
18,2009,1000,62,0.062,50,32118,62,0.02,3.912023005428145,L18,neuron_002009_exp3_summary.csv
18,2020,1000,89,0.089,50,39468,89,0.02,3.912023005428145,L18,neuron_002020_exp3_summary.csv
18,2025,1000,22,0.022,50,32115,22,0.02,3.912023005428145,L18,neuron_002025_exp3_summary.csv
18,2041,1000,81,0.081,50,40920,81,0.02,3.912023005428145,L18,neuron_002041_exp3_summary.csv
18,2080,1000,65,0.065,50,37170,65,0.02,3.912023005428145,L18,neuron_002080_exp3_summary.csv
18,2084,1000,33,0.033,50,32119,33,0.02,3.912023005428145,L18,neuron_002084_exp3_summary.csv
18,2141,1000,60,0.06,50,41547,60,0.02,3.912023005428145,L18,neuron_002141_exp3_summary.csv
18,2174,1000,20,0.02,50,35932,20,0.02,3.912023005428145,L18,neuron_002174_exp3_summary.csv
18,2197,1000,34,0.034,50,33659,34,0.02,3.912023005428145,L18,neuron_002197_exp3_summary.csv
18,2208,1000,45,0.045,50,32100,45,0.02,3.912023005428145,L18,neuron_002208_exp3_summary.csv
18,2212,1000,85,0.085,50,32112,85,0.02,3.912023005428145,L18,neuron_002212_exp3_summary.csv
18,2217,1000,198,0.198,50,35847,198,0.02,3.912023005428145,L18,neuron_002217_exp3_summary.csv
18,2295,1000,69,0.069,50,38730,69,0.02,3.912023005428145,L18,neuron_002295_exp3_summary.csv
18,2322,1000,69,0.069,50,32111,69,0.02,3.912023005428145,L18,neuron_002322_exp3_summary.csv
18,2325,1000,81,0.081,50,37979,81,0.02,3.912023005428145,L18,neuron_002325_exp3_summary.csv
18,2352,1000,63,0.063,50,32107,63,0.02,3.912023005428145,L18,neuron_002352_exp3_summary.csv
18,2376,1000,152,0.152,50,32112,152,0.02,3.912023005428145,L18,neuron_002376_exp3_summary.csv
18,2381,1000,48,0.048,50,32113,48,0.02,3.912023005428145,L18,neuron_002381_exp3_summary.csv
18,2386,1000,64,0.064,50,32107,64,0.02,3.912023005428145,L18,neuron_002386_exp3_summary.csv
18,2397,1000,32,0.032,50,32127,32,0.02,3.912023005428145,L18,neuron_002397_exp3_summary.csv
18,2407,1000,103,0.103,50,38776,103,0.02,3.912023005428145,L18,neuron_002407_exp3_summary.csv
18,2439,1000,79,0.079,50,34789,79,0.02,3.912023005428145,L18,neuron_002439_exp3_summary.csv
18,2466,1000,101,0.101,50,38569,101,0.02,3.912023005428145,L18,neuron_002466_exp3_summary.csv
18,2480,1000,39,0.039,50,38680,39,0.02,3.912023005428145,L18,neuron_002480_exp3_summary.csv
18,2485,1000,81,0.081,50,41766,81,0.02,3.912023005428145,L18,neuron_002485_exp3_summary.csv
18,2496,1000,111,0.111,50,32103,111,0.02,3.912023005428145,L18,neuron_002496_exp3_summary.csv
18,2597,1000,68,0.068,50,37242,68,0.02,3.912023005428145,L18,neuron_002597_exp3_summary.csv
18,2624,1000,71,0.071,50,39086,71,0.02,3.912023005428145,L18,neuron_002624_exp3_summary.csv
18,2629,1000,39,0.039,50,38960,39,0.02,3.912023005428145,L18,neuron_002629_exp3_summary.csv
18,2634,1000,77,0.077,50,32113,77,0.02,3.912023005428145,L18,neuron_002634_exp3_summary.csv
18,2684,1000,29,0.029,50,35772,29,0.02,3.912023005428145,L18,neuron_002684_exp3_summary.csv
18,2738,1000,30,0.03,50,40364,30,0.02,3.912023005428145,L18,neuron_002738_exp3_summary.csv
18,2805,1000,79,0.079,50,40316,79,0.02,3.912023005428145,L18,neuron_002805_exp3_summary.csv
18,2840,1000,102,0.102,50,34884,102,0.02,3.912023005428145,L18,neuron_002840_exp3_summary.csv
18,2842,1000,12,0.012,50,38823,12,0.02,3.912023005428145,L18,neuron_002842_exp3_summary.csv
18,2891,1000,91,0.091,50,36473,91,0.02,3.912023005428145,L18,neuron_002891_exp3_summary.csv
18,2907,1000,104,0.104,50,36248,104,0.02,3.912023005428145,L18,neuron_002907_exp3_summary.csv
18,2909,1000,11,0.011,50,32118,11,0.02,3.912023005428145,L18,neuron_002909_exp3_summary.csv
18,2912,1000,68,0.068,50,32121,68,0.02,3.912023005428145,L18,neuron_002912_exp3_summary.csv
18,2926,1000,10,0.01,50,38843,10,0.02,3.912023005428145,L18,neuron_002926_exp3_summary.csv
18,2939,1000,88,0.088,50,35307,88,0.02,3.912023005428145,L18,neuron_002939_exp3_summary.csv
18,2964,1000,26,0.026,50,36536,26,0.02,3.912023005428145,L18,neuron_002964_exp3_summary.csv
