layer,neuron_id,doc_token_id,doc_token_str,title,freq,freq_frac,score_mean,score_max
18,15,40945,@DOC_ID_-6343875994683912569@,,52,0.02,594.7248041079595,2412.01220703125
18,15,36846,@DOC_ID_-7509184638142626346@,,52,0.02,557.6630696883568,2261.70166015625
18,15,35026,@DOC_ID_-6261352554214387228@,,52,0.02,548.9740543365479,2226.4619140625
18,15,36059,@DOC_ID_-4040814077881947126@,,52,0.02,541.4870865161603,2196.09716796875
18,15,35443,@DOC_ID_7201285525278025765@,,52,0.02,541.0911061213567,2194.4912109375
18,15,35468,@DOC_ID_7974677756970110674@,,52,0.02,513.972719009106,2084.5078125
18,15,34382,@DOC_ID_3395715140984844186@,,52,0.02,512.887725169842,2080.107421875
18,15,37080,@DOC_ID_256711913976192195@,,52,0.02,505.9183221230141,2051.84130859375
18,15,36871,@DOC_ID_-6489556293384568307@,,52,0.02,505.7166783993061,2051.0234375
18,15,35570,@DOC_ID_-2084544577328397891@,,52,0.02,504.7489697016202,2047.098876953125
18,33,40767,@DOC_ID_7756227667165778451@,,40,0.02,257.6093133971096,1075.406494140625
18,33,32642,@DOC_ID_4325358840638304903@,,40,0.02,251.31624755263329,1049.1357421875
18,33,37242,@DOC_ID_-6414775394529672277@,,40,0.02,250.01619585454463,1043.7086181640625
18,33,34692,@DOC_ID_-3711806224285134432@,,40,0.02,246.2192881003022,1027.858154296875
18,33,41979,@DOC_ID_6941993254369956277@,,40,0.02,244.0527982145548,1018.81396484375
18,33,38265,@DOC_ID_7722241709255802397@,,40,0.02,242.28859722614288,1011.44921875
18,33,38875,@DOC_ID_4695540247090454380@,,40,0.02,236.00710200220345,985.2269897460938
18,33,38289,@DOC_ID_-614456587771845703@,,40,0.02,234.8882232889533,980.5557250976562
18,33,32241,@DOC_ID_-9183439592305576664@,,40,0.02,233.77498294115065,975.90869140625
18,33,38493,@DOC_ID_-754558473874982087@,,40,0.02,224.4723115324974,937.0740356445312
18,46,35024,@DOC_ID_-8718273221035431656@,,95,0.02,682.3184862990129,2402.8466796875
18,46,32493,@DOC_ID_-1850291667242493969@,,95,0.02,666.0760387772008,2345.647705078125
18,46,37418,@DOC_ID_-206602854363577406@,,95,0.02,614.4895907100878,2163.981201171875
18,46,32912,@DOC_ID_6994443654527479723@,,95,0.02,609.5800544337222,2146.69140625
18,46,38994,@DOC_ID_-3074090363734262017@,,95,0.02,602.4116094714717,2121.44775390625
18,46,32472,@DOC_ID_-2800355150477501094@,,95,0.02,593.2689068242123,2089.25048828125
18,46,40171,@DOC_ID_2238825424920197368@,,95,0.02,572.1693765991613,2014.9466552734373
18,46,40536,@DOC_ID_-826079926854927265@,,95,0.02,570.0989925409618,2007.655517578125
18,46,41332,@DOC_ID_-704529031648349308@,,95,0.02,567.043608364306,1996.895751953125
18,46,39036,@DOC_ID_-414112163462285612@,,95,0.02,551.5048876185166,1942.1748046875
18,71,39361,@DOC_ID_-978476110612276046@,,83,0.02,601.9954784462251,1986.937744140625
18,71,40314,@DOC_ID_7397542791834822732@,,83,0.02,601.7895195512887,1986.2578125
18,71,38377,@DOC_ID_6318877116879030123@,,83,0.02,597.8307632423309,1973.191650390625
18,71,32782,@DOC_ID_-5860581101195960807@,,83,0.02,583.9220652580261,1927.2847900390625
18,71,39573,@DOC_ID_-6335912183321793595@,,83,0.02,574.841351457389,1897.313232421875
18,71,39781,@DOC_ID_2721456237114415335@,,83,0.02,561.5949819978462,1853.5924072265625
18,71,38950,@DOC_ID_462301322383453067@,,83,0.02,556.7467828313988,1837.5904541015625
18,71,39635,@DOC_ID_8286361507933260301@,,83,0.02,555.7688873991909,1834.363037109375
18,71,37438,@DOC_ID_5357356879798689862@,,83,0.02,552.2567325844822,1822.77099609375
18,71,36702,@DOC_ID_-2058561318766576724@,,83,0.02,545.3864878459149,1800.0947265625
18,83,32121,@DOC_ID_2410183720845572781@,,91,0.02,3438.252833858951,12819.828125
18,83,32116,@DOC_ID_3600692813210463538@,,91,0.02,3412.9026549412656,12725.306640625
18,83,32106,@DOC_ID_6035361184366570886@,,91,0.02,3404.0786917340624,12692.40625
18,83,32108,@DOC_ID_7402252165412431758@,,91,0.02,3366.7569346585115,12553.248046875
18,83,32112,@DOC_ID_4914981770483543061@,,91,0.02,3311.953863500238,12348.908203125
18,83,32110,@DOC_ID_-3471796156323863710@,,91,0.02,3295.403724565611,12287.2021484375
18,83,32122,@DOC_ID_8148266614370990423@,,91,0.02,3292.207436069028,12275.28515625
18,83,32120,@DOC_ID_-1374932068194623395@,,91,0.02,3273.1707506703806,12204.302734375
18,83,32114,@DOC_ID_1551018314916421217@,,91,0.02,3245.134904421293,12099.76953125
18,83,32111,@DOC_ID_6070333273965940514@,,91,0.02,3223.064811538864,12017.48046875
18,106,32124,@DOC_ID_-7272129313675735420@,,11,0.02,1650.728633533825,5354.197265625
18,106,32108,@DOC_ID_7402252165412431758@,,11,0.02,1650.5119323730469,5353.49560546875
18,106,32122,@DOC_ID_8148266614370990423@,,11,0.02,1628.27397294478,5281.36376953125
18,106,32126,@DOC_ID_-8201001537442035511@,,11,0.02,1619.6785569624467,5253.4853515625
18,106,32106,@DOC_ID_6035361184366570886@,,11,0.02,1616.1888261274858,5242.1689453125
18,106,32109,@DOC_ID_-2644154875949523750@,,11,0.02,1579.7747830477629,5124.0576171875
18,106,32100,@DOC_ID_-2081335883615568321@,,11,0.02,1576.6156005859375,5113.80810546875
18,106,32116,@DOC_ID_3600692813210463538@,,11,0.02,1568.5013899369674,5087.4912109375
18,106,32105,@DOC_ID_6328671855929848793@,,11,0.02,1564.0877324884589,5073.17578125
18,106,32121,@DOC_ID_2410183720845572781@,,11,0.02,1562.7734652432528,5068.90966796875
18,155,38736,@DOC_ID_-9100785743410363726@,,48,0.02,984.2911222577096,3803.0
18,155,41343,@DOC_ID_-5242214421933718346@,,48,0.02,900.811291406552,3480.459716796875
18,155,36733,@DOC_ID_7422138256586783478@,,48,0.02,854.6738979419073,3302.197998046875
18,155,37921,@DOC_ID_-6422109722279490603@,,48,0.02,850.7134565114975,3286.896484375
18,155,37579,@DOC_ID_8080928516369535964@,,48,0.02,797.9745891094208,3083.129638671875
18,155,39654,@DOC_ID_2746499679246690827@,,48,0.02,787.2766233185927,3041.79638671875
18,155,37051,@DOC_ID_-5589446597422303099@,,48,0.02,764.8931130468845,2955.312744140625
18,155,36926,@DOC_ID_-1966282038243812778@,,48,0.02,744.0797926386198,2874.896484375
18,155,34369,@DOC_ID_7155463733142787906@,,48,0.02,730.4741247097651,2822.328857421875
18,155,33604,@DOC_ID_3241293540304774739@,,48,0.02,726.629989763101,2807.475830078125
18,184,40226,@DOC_ID_4647661495893630914@,,61,0.02,362.6716576247919,1309.3865966796875
18,184,33275,@DOC_ID_8063539836940148474@,,61,0.02,331.35306555325866,1196.3143310546875
18,184,32917,@DOC_ID_2547079685495804053@,,61,0.02,326.4234257213405,1178.516357421875
18,184,40662,@DOC_ID_-2861251994173843450@,,61,0.02,318.03522322607824,1148.2315673828125
18,184,39582,@DOC_ID_2804911444230559480@,,61,0.02,308.45848020960074,1113.656005859375
18,184,32722,@DOC_ID_-4817094039918379014@,,61,0.02,302.3349150047928,1091.5474853515625
18,184,42099,@DOC_ID_-5559443388832069073@,,61,0.02,301.68445954557325,1089.198974609375
18,184,40648,@DOC_ID_2386881544920862248@,,61,0.02,299.1952969754328,1080.212158203125
18,184,40277,@DOC_ID_8852593536762804993@,,61,0.02,283.78767817137674,1024.5845947265625
18,184,32520,@DOC_ID_4164576511111867648@,,61,0.02,282.03990598584784,1018.2745361328124
18,186,33551,@DOC_ID_-4074737828490539870@,,70,0.02,266.5915334701538,987.7005615234376
18,186,35951,@DOC_ID_5273406018593685256@,,70,0.02,262.42853796822686,972.2769775390624
18,186,41709,@DOC_ID_-8209058272420680202@,,70,0.02,262.1722816876003,971.3275146484376
18,186,36754,@DOC_ID_-6263976998977772429@,,70,0.02,255.22648463930403,945.5939331054688
18,186,40683,@DOC_ID_-2656167645085991516@,,70,0.02,246.42263261250088,912.9763793945312
18,186,35910,@DOC_ID_-8116514778565856100@,,70,0.02,245.349761063712,909.00146484375
18,186,32141,@DOC_ID_7946313281660231533@,,70,0.02,244.9457758494786,907.5047607421876
18,186,41499,@DOC_ID_5929495017515283118@,,70,0.02,242.84901609420777,899.7363891601562
18,186,40030,@DOC_ID_1765488711371624057@,,70,0.02,241.1088120869228,893.2889404296875
18,186,37940,@DOC_ID_-8708394012062974929@,,70,0.02,233.5798733983721,865.39501953125
18,197,35162,@DOC_ID_-8293796727478516086@,,86,0.02,816.9661814057549,6815.6572265625
18,197,42078,@DOC_ID_3541521046214872121@,,86,0.02,754.7132461625476,6296.302734375
18,197,35011,@DOC_ID_1722677490529528911@,,86,0.02,749.2429340135219,6250.6669921875
18,197,41890,@DOC_ID_-4619624814603934339@,,86,0.02,720.8204367105351,6013.54736328125
18,197,37782,@DOC_ID_-5944236923113570898@,,86,0.02,671.8308321126672,5604.845703125
18,197,40774,@DOC_ID_6507459087595991641@,,86,0.02,665.177136648533,5549.3349609375
